"Enable Persistence","Activar persistencia"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Enable ""Remember Me""","Activar ""Recordarme"""
"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"Clear Persistence on Sign Out","Eliminar Persistencia al salir de la cuenta"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
"Persist Wish List","Mantener favoritos"
"Persist Recently Ordered Items","Mantener los artículos recientemente ordenados"
"Persist Currently Compared Products","Mantener productos actualmente en comparación"
"Persist Comparison History","Mantener historial de comparación"
"Persist Recently Viewed Products","Mantener los artículos recientemente vistos"
"Persist Customer Group Membership and Segmentation","Mantener Membresía de Grupo de Clientes y Segmentación"
"Read Product Price","Leer precio del artículo"
"Edit Product Price","Editar precio del artículo"
"Edit Product Status","Editar estado del artículo"
"Default Product Price","Precio del artículo (predeterminado)"
"Defines the default product price","Define el precio del producto por defecto"
"You saved the alert subscription.","Se guardó la suscripción de alerta."
"There are not enough parameters.","No hay suficientes parámetros."
"The alert subscription couldn't update at this time. Please try again later.","The alert subscription couldn't update at this time. Please try again later."
"Alert subscription has been saved.","Alerta de suscripción guardada."
"You deleted the alert subscription.","Eliminó la suscripción de alertas."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"You will no longer receive price alerts for this product.","Usted no recibirá más alertas de precio para este artículo."
"Unable to update the alert subscription.","Imposible actualizar la suscripción de alerta."
"You will no longer receive stock alerts for this product.","Usted no recibirá más alertas de existencias para este artículo."
"The product was not found.","No se encontró el artículo."
"You will no longer receive stock alerts.","Usted no recibirá más alertas de existencias."
"Invalid block type: %1","Tipo de bloque inválido: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","¡Alerta de cambio de precio! Queríamos que supieras que han cambiado los precios de estos productos:"
"Price:","Precio:"
"Click here to stop alerts for this product.","Haga click aquí para detener las alertas para este producto."
"Unsubscribe from all price alerts","Darse de baja de todas las alertas de precio"
"In stock alert! We wanted you to know that these products are now available:","¡Alerta en stock! Queríamos que supieras que estos productos están ahora disponibles:"
"Unsubscribe from all stock alerts","Darse de baja de todas las alertas de existencias"
"Product alerts Cron error","Error de cron de las alertas de artículo"
"Product alerts cron warnings","Advertencias de alertas cron de productos"
"Products price changed alert","Alerta de cambio de precio de producto"
"%name,","%name,"
"Products back in stock alert","Alerta de productos de vuelta en stock"
"Product Alerts","Alertas de artículo"
"Allow Alert When Product Price Changes","Permitir aviso cuando el precio del artículo cambie"
"Allow Alert When Product Comes Back in Stock","Avisar cuando el artículo vuelva a estar en existencias."
"Price Alert Email Template","Plantilla de correo eléctronico de alerta de precio"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Stock Alert Email Template","Plantilla de correo electrónico de alerta de existencias"
"Alert Email Sender","Alerta de correo electrónico del remitente"
"Product Alerts Run Settings","Configuración de la función de alertas de artículo"
"Frequency","Frecuencia"
"Start Time","Tiempo de inicio"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Notify me when the price drops","Notifíqueme cuando el precio baje"
"Notify me when this product is in stock","Notificarme cuando este producto vuelva a stock"
"Url","Url"
"Title","Título"
"Description","Descripción"
"Preview Image","Imagen de previsualización"
"Get Video Information","Obtener información de vídeo"
"Hide from Product Page","Ocultar de la página de producto"
"Role","Rol"
"YouTube and Vimeo supported.","Youtube y Vimeo admitidos."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo aceptado.< br />Para agregar el video de YouTube, por favor <a href=""%1""> Introduzca la clave de la API de YouTube</a> primero."
"Protocol isn't allowed","Protocolo no está permitido"
"Disallowed file type.","Tipo de archivo no permitido."
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
"Add Video","Añadir vídeo"
"Browse to find or drag image here","Selecciona o arrastra la imagen aquí"
"Delete video","Eliminar video"
"Delete image","Eliminar imagen"
"Hidden","Oculto"
"Alt Text","Texto alternativo"
"Image Size","Tamaño de la imagen"
"{size}","{size}"
"Image Resolution","Resolución de imagen"
"{width}^{height} px","{width}^{height} px"
"Title:","Título:"
"Uploaded:","Subido:"
"Uploader:","Uploader:"
"Duration:","Duración:"
"Video Error","Error video"
"Unknown video type","Tipo de video desconocido"
"Invalid video url","Url del video no válida"
"Youtube API key is invalid","YouTube API key no es válido"
"Video cant be shown due to the following reason:","Video no se puede demostrar por el siguiente motivo:"
"Video not found","Video no encontrado"
"New Video","Video nuevo"
"Save","Guardar"
"Cancel","Cancelar"
"Delete","Borrar"
"Edit Video","Editar video"
"Images and Videos","Imágenes y vídeos"
"Product Video","Vídeos del producto"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Ver video relacionado"
"Auto restart video","Reiniciar video automáticamente"
"Images And Videos","Imágenes y vídeos"
"Images And Videos","Imágenes y vídeos"
"Edit Catalog Price Rules","Editar las reglas de precio de catálogo"
"Edit Cart Price Rules","Edita las reglas de precio del carrito de compras"
"Edit Automated Email Reminder Rules","Editar las reglas de recordatorio de correo electrónico automatizado"
"Quick Order","Pedido rápido"
"Page not found.","Página no encontrada."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","El archivo CSV no contiene una columna con SKU. Asegúrese de que la primera columna se denomina SKU y que cada línea del archivo contiene un valor SKU. Luego vuelva a subir el archivo."
"You should correct the quantity for the product.","Debe corregir la cantidad del producto."
"The SKU is out of stock.","El SKU está fuera de stock."
"We don't have the quantity you requested.","No tenemos la cantidad solicitada."
"An error occurred. For details, see the error log.","Ha ocurrido un error. Para ver los detalles consultar el log del error."
"Exception message","Mensaje de excepción"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","El archivo no se subió porque tiene el formato erróneo. Por favor, seleccione un archivo CSV para cargar."
"Add from File","Agregar desde archivo"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","El archivo debe estar en formato CSV e incluir columnas ""SKU"" y ""Cantidad"""
"Choose File","Elegir archivo"
"Enter Multiple SKUs","Introducir múltiples SKU"
"Use commas or paragraph to separate SKUs.","Usar comas o párrafo para separar SKU."
"Add to List","Añadir a la lista"
"Order by SKU","Ordenar por SKU"
"Enter SKU or Product Name","Enter SKU or Product Name"
"Qty","Cant"
"Add to Cart","Añadir al carrito"
"Remove Row","Eliminar fila"
"product(s) require(s) your attention.","product(s) require(s) your attention."
"Enable Quick Order","Enable Quick Order"
"Download Sample","Download Sample"
"The address failed to save. Verify the address and try again.","The address failed to save. Verify the address and try again."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"Cart isn't assigned to correct store","Cart isn't assigned to correct store"
"The coupon code couldn't be applied. Verify the coupon code and try again.","El código de cupón no puede ser aplicado. Comprobar el código y vuelva a intentarlo."
"The coupon code isn't valid. Verify the code and try again.","El código de cupón no es válido. Comprobar el código y vuelva a intentarlo."
